Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	18:23:01	18:23:01	18:23:01			18:23:01	18:23:01	18:23:01	18:23:01	18:23:01	18:23:02	18:23:02	18:23:02	18:23:02	18:23:02	18:23:02	18:23:03	18:23:03		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
1	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:04	18:23:06	18:23:06		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:01
2	18:23:06	18:23:06	18:23:06	18:23:06	18:23:06	18:23:06			18:23:06	18:23:06	18:23:07	18:23:07	18:23:07	18:23:07	18:23:07	18:23:07	18:23:08	18:23:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
3	18:23:08	18:23:08	18:23:08	18:23:08	18:23:08	18:23:08			18:23:08	18:23:08	18:23:09	18:23:09	18:23:09	18:23:09	18:23:09	18:23:09	18:23:09	18:23:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
4	18:23:10	18:23:10	18:23:10	18:23:10	18:23:10	18:23:10			18:23:10	18:23:10	18:23:10	18:23:10	18:23:10	18:23:10	18:23:10	18:23:10	18:23:11	18:23:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
5	18:23:11	18:23:11	18:23:11	18:23:11	18:23:11	18:23:11			18:23:11	18:23:11	18:23:11	18:23:11	18:23:11	18:23:11	18:23:11	18:23:11	18:23:12	18:23:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
6	18:23:12	18:23:12	18:23:12	18:23:12	18:23:12	18:23:12			18:23:12	18:23:12	18:23:12	18:23:12	18:23:12	18:23:12	18:23:12	18:23:12	18:23:13	18:23:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
7	18:23:13	18:23:13	18:23:13	18:23:13	18:23:13	18:23:13			18:23:13	18:23:13	18:23:14	18:23:14	18:23:14	18:23:14	18:23:14	18:23:14	18:23:14	18:23:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
8	18:23:14	18:23:14	18:23:14	18:23:14	18:23:14	18:23:14			18:23:14	18:23:14	18:23:15	18:23:15	18:23:15	18:23:15	18:23:15	18:23:15	18:23:15	18:23:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
9	18:23:15	18:23:15	18:23:15	18:23:15	18:23:15	18:23:15			18:23:15	18:23:15	18:23:16	18:23:16	18:23:16	18:23:16	18:23:16	18:23:16	18:23:16	18:23:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
10	18:23:16	18:23:16	18:23:16	18:23:16	18:23:16	18:23:16	18:23:16	18:23:16	18:23:16	18:23:16	18:23:17	18:23:17	18:23:17	18:23:17	18:23:17	18:23:17	18:23:17	18:23:17		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
